subject,class_id,class_name,declaration_token_count,body_token_count,total_token_count,body_empty,body_tokens_truncated,declaration_truncated,generated_code_status,input_hash
jpetstore,org.mybatis.jpetstore.domain.Account,Account,207,45,265,false,0,false,not_detected,836223e9668677fb8eeaa4e4c4db3f6f14503e489628c3084019e4eb3e554025
jpetstore,org.mybatis.jpetstore.domain.Cart,Cart,75,37,121,false,0,false,compiler_synthetic_evidence,ab0a8d13e63fa051903bd44e2d6597ee8bdd8bbb84afb45a7ca6e67e170c7f19
jpetstore,org.mybatis.jpetstore.domain.CartItem,CartItem,55,13,77,false,0,false,compiler_synthetic_evidence,e004475c4603b53c4fe444d74cc119389a82314f8051479f3e2b362b776580f0
jpetstore,org.mybatis.jpetstore.domain.Category,Category,40,12,61,false,0,false,not_detected,eab81e1147be4f1be016c8344b822381aee3d5a11b291d790c1d36e211f6be6e
jpetstore,org.mybatis.jpetstore.domain.Item,Item,155,37,211,false,0,false,not_detected,d66651d9874ba8e963e8b46c2d16f66e4fa96a4540a84b30f42660c77772ee43
jpetstore,org.mybatis.jpetstore.domain.LineItem,LineItem,84,22,115,false,0,false,compiler_synthetic_evidence,7184d8270fc77b83090d88624768f379ddfd64a856af5fd1b63f95855be689c8
jpetstore,org.mybatis.jpetstore.domain.Order,Order,386,67,466,false,0,false,not_detected,5f711f85c4a0513bd637217a8467712934d7a028a257eab0ec3fbdf70b9b44cb
jpetstore,org.mybatis.jpetstore.domain.Product,Product,51,14,74,false,0,false,not_detected,847fa19d82ae7e6fbe86b45c03d38ad57c08046d7b4580a1b565a0d9afd33655
jpetstore,org.mybatis.jpetstore.domain.Sequence,Sequence,28,8,45,false,0,false,not_detected,abb9aaad117ec9fcb0617a69d8f482f44f4cf48fa2e5461581fb08ee44d8b133
jpetstore,org.mybatis.jpetstore.mapper.AccountMapper,AccountMapper,61,0,72,true,0,false,not_detected,0448e09395c3346af47c2b9115e9cc8b567d96c67409ce6b97d2c2b4ea54bdde
jpetstore,org.mybatis.jpetstore.mapper.CategoryMapper,CategoryMapper,16,0,27,true,0,false,not_detected,4c2b0b9614de47c93d52b3e71d44d77577d0f8f24d5f318430de16a31d338a08
jpetstore,org.mybatis.jpetstore.mapper.ItemMapper,ItemMapper,33,0,44,true,0,false,not_detected,f7a4d34cc83ec41e04e5305afff4f8fa8db765acb0e16f08f36d5e3c436c660b
jpetstore,org.mybatis.jpetstore.mapper.LineItemMapper,LineItemMapper,24,0,35,true,0,false,not_detected,71af6f379965ab0cfb5273fbf7e3733ed5c5b8adb3fd3cac4b06b7a88333a51c
jpetstore,org.mybatis.jpetstore.mapper.OrderMapper,OrderMapper,31,0,42,true,0,false,not_detected,7e8e40f55a2c7915a803664f4374d530ef390d75a7cb12d48749845a092d65c7
jpetstore,org.mybatis.jpetstore.mapper.ProductMapper,ProductMapper,26,0,37,true,0,false,not_detected,88f2b3ee8fb71f2a5d030a5dd3a006010dce5220299e2df1624cb7a1e546bff5
jpetstore,org.mybatis.jpetstore.mapper.SequenceMapper,SequenceMapper,20,0,31,true,0,false,not_detected,a18094d1f2d3b7eeb9a5d092d8e52dbcac67e6d2b5e1e0701a9e8859cc2e44c8
jpetstore,org.mybatis.jpetstore.service.AccountService,AccountService,34,13,57,false,0,false,compiler_synthetic_evidence,62fa0263a48f1cdcf9221655e50e39b26e3a9164f982c1b84d14398a18c66be1
jpetstore,org.mybatis.jpetstore.service.CatalogService,CatalogService,59,23,91,false,0,false,not_detected,311b8cd67bd162079413ca08817b5c2f60b2908d6748e84b6127f36c5d91c253
jpetstore,org.mybatis.jpetstore.service.OrderService,OrderService,32,28,71,false,0,false,compiler_synthetic_evidence,ab610247715c7e8af8066b7cf4549313474d223c241d7c1f8e14d0293507f315
jpetstore,org.mybatis.jpetstore.web.actions.AbstractActionBean,AbstractActionBean,32,7,48,false,0,false,not_detected,5685ab07312f08adc9dc5704fe9436f04a6de52929f1ccab34a4af5f43512887
jpetstore,org.mybatis.jpetstore.web.actions.AccountActionBean,AccountActionBean,107,51,172,false,0,false,not_detected,f8889d28106565ed20148a4a22d087326279016eaf2b15316fd95731141ac8f5
jpetstore,org.mybatis.jpetstore.web.actions.CartActionBean,CartActionBean,70,32,111,false,0,false,not_detected,6e2082049949bc32797b855bfa06cf8b854060e47407dbd85b81f0d1c8085e08
jpetstore,org.mybatis.jpetstore.web.actions.CatalogActionBean,CatalogActionBean,158,34,201,false,0,false,not_detected,c7b77c1ac86484ab13836eab214963ec1aa3c82fd8e04f889fd0dcd278382850
